sub,date,nTrials,nRightTrials,nLeftTrials,Perf,probeID,probeType,regions,nUnits
460434,20191115,665,407,134,69.28746929,"['19011116211', '19011111142', '19011111614']","['neuropixels 2.0 - MS', 'neuropixels 2.0 - MS', 'neuropixels 2.0 - SS']",['right ALM' 'left Medulla' 'right Midbrain'],"[103, 184, 211]"
460436,20200107,541,392,216,87.24489796,"['19011116163', '19011111614', '19011111142']","['neuropixels 2.0 - MS', 'neuropixels 2.0 - SS', 'neuropixels 2.0 - MS']",['left ALM' 'left Midbrain' 'right Medulla'],"[375, 165, 210]"
460436,20200108,640,452,261,88.27433628,"['19011116163', '19011111614', '19011111142']","['neuropixels 2.0 - MS', 'neuropixels 2.0 - SS', 'neuropixels 2.0 - MS']",['left ALM' 'left Midbrain' 'right Medulla'],"[254, 160, 208]"
460436,20200109,517,329,116,78.72340426,"['19011116163', '19011111142', '19011111614']","['neuropixels 2.0 - MS', 'neuropixels 2.0 - MS', 'neuropixels 2.0 - SS']",['right ALM' 'left Medulla' 'right Midbrain'],"[300, 155, 172]"
460436,20200110,500,328,158,89.93902439,"['19011116163', '19011111142', '19011111614']","['neuropixels 2.0 - MS', 'neuropixels 2.0 - MS', 'neuropixels 2.0 - SS']",['right ALM' 'left Medulla' 'right Midbrain'],"[211, 140, 200]"
479121,20200921,320,235,163,40.42553191,"['18005107812', '18005107871', '18408406312', '18194809181', '18408406182']","['neuropixels 1.0 - 3B', 'neuropixels 1.0 - 3B', 'neuropixels 1.0 - 3B', 'neuropixels 1.0 - 3B', 'neuropixels 1.0 - 3B']",['left ALM' 'right ALM' 'left Medulla' 'right Medulla'],"[295, 263, 734, 236]"
479121,20200922,527,385,222,64.15584416,"['18005107871', '18408406312', '18194809181', '18408406182']","['neuropixels 1.0 - 3B', 'neuropixels 1.0 - 3B', 'neuropixels 1.0 - 3B', 'neuropixels 1.0 - 3B']",['right ALM' 'left Medulla' 'right Medulla'],"[271, 500, 185]"
479121,20200923,530,361,215,82.54847645,"['18005106822', '18005107871', '18408406312', '18194809181', '18408406182']","['neuropixels 1.0 - 3B', 'neuropixels 1.0 - 3B', 'neuropixels 1.0 - 3B', 'neuropixels 1.0 - 3B', 'neuropixels 1.0 - 3B']",['left ALM' 'right ALM' 'left Medulla' 'right Medulla'],"[357, 268, 782, 373]"
479121,20200924,629,456,236,92.98245614,"['18005107812', '18005107871', '18408406182', '18408406312', '18194809181']","['neuropixels 1.0 - 3B', 'neuropixels 1.0 - 3B', 'neuropixels 1.0 - 3B', 'neuropixels 1.0 - 3B', 'neuropixels 1.0 - 3B']",['left ALM' 'right ALM' 'left Medulla' 'right Medulla'],"[207, 217, 364, 1196]"
479121,20200925,461,333,216,51.35135135,"['18005117122', '18408406182', '18005107871', '18005107812']","['neuropixels 1.0 - 3B', 'neuropixels 1.0 - 3B', 'neuropixels 1.0 - 3B', 'neuropixels 1.0 - 3B']",['left ALM' 'right ALM' 'left Midbrain' 'right Midbrain'],"[284, 215, 170, 168]"
479121,20200928,530,413,225,88.37772397,"['18005117122', '18005107871', '18005107812']","['neuropixels 1.0 - 3B', 'neuropixels 1.0 - 3B', 'neuropixels 1.0 - 3B']",['right ALM' 'left Midbrain' 'right Midbrain'],"[203, 122, 65]"
